r,U_00,U_01,U_11,hs_00,hs_01,hs_11,lj_00,lj_01,lj_11,coulomb_00,coulomb_01,coulomb_11
0.01,inf,inf,inf,inf,inf,inf,3.9999999999959997e+24,1.5375096234466818e+25,5.349660268951808e+25,100.0,-100.0,100.0
0.02,inf,inf,inf,inf,inf,inf,9.765624999375e+20,3.753685603984387e+21,1.3060694015720064e+22,50.0,-50.0,50.0
0.03,inf,inf,inf,inf,inf,inf,7.52670568714872e+18,2.8930956076306956e+19,1.00663295975424e+20,33.333333333333336,-33.333333333333336,33.333333333333336
0.04,inf,inf,inf,inf,inf,inf,2.38418578125e+17,9.164271473245004e+17,3.188645995626e+18,25.0,-25.0,25.0
0.05,inf,inf,inf,inf,inf,inf,1.6383999744e+16,6.2976393620965816e+16,2.191220834697212e+17,20.0,-20.0,20.0
0.06,inf,inf,inf,inf,inf,inf,1837574546257253.0,7063221515205972.0,2.4575999616e+16,16.666666666666668,-16.666666666666668,16.666666666666668
0.07,inf,inf,inf,inf,inf,inf,288990429236596.3,1110813972005993.1,3865001845918116.0,14.285714285714285,-14.285714285714285,14.285714285714285
0.08,inf,inf,inf,inf,inf,inf,58207645654678.34,223737063924918.78,778477959000000.0,12.5,-12.5,12.5
0.09,inf,inf,inf,inf,inf,inf,14162817119182.9,54438681639864.2,189415717048733.66,11.11111111111111,-11.11111111111111,11.11111111111111
0.1,inf,inf,inf,inf,inf,inf,3999996000000.0,15375087555634.502,53496584773631.91,10.0,-10.0,10.0
0.11,inf,inf,inf,inf,inf,inf,1274521012945.7085,4898974586586.87,17045656146632.174,9.090909090909092,-9.090909090909092,9.090909090909092
0.12,inf,inf,inf,inf,inf,inf,448625279546.55396,1724416454124.0166,5999994000000.0,8.333333333333334,-8.333333333333334,8.333333333333334
0.13,inf,inf,inf,inf,inf,inf,171687100967.1219,659927812201.6918,2296176528313.4336,7.692307692307692,-7.692307692307692,7.692307692307692
0.14,inf,inf,inf,inf,inf,inf,70553781072.25067,271193682754.71738,943601624050.2495,7.142857142857142,-7.142857142857142,7.142857142857142
0.15,inf,inf,inf,inf,inf,inf,30829035351.054977,118500434208.88898,412315287552.0,6.666666666666667,-6.666666666666667,6.666666666666667
0.16,inf,inf,inf,inf,inf,inf,14210616296.622902,54622797405.86052,190057044273.37646,6.25,-6.25,6.25
0.17,inf,inf,inf,inf,inf,inf,6865346349.879549,26389117623.550163,91819650581.01675,5.88235294117647,-5.88235294117647,5.88235294117647
0.18,inf,inf,inf,inf,inf,inf,3457603256.0361977,13290442578.448183,46243553026.582466,5.555555555555555,-5.555555555555555,5.555555555555555
